epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,312.753,1.57393,3.49578,1.80673,1.6522,0.43252,0.45722,0.3421,0.14344,0.08514,0.01872,0.00656,0.00197,2.01424,3.10976,2.03541,2.19046,0.000841835,0.000841835,0.000841835
52,318.07,1.49207,3.34047,1.71004,1.59963,0.47171,0.4385,0.37843,0.16263,0.05338,0.01872,0.00873,0.00271,1.9508,3.26023,2.05396,2.10635,0.000825332,0.000825332,0.000825332
53,323.143,1.4745,3.14841,1.67155,1.57971,0.47171,0.4385,0.37843,0.16263,0.05338,0.01872,0.00873,0.00271,1.9508,3.26023,2.05396,2.10635,0.000808828,0.000808828,0.000808828
54,328.399,1.498,3.46375,1.77042,1.63318,0.48024,0.49198,0.44797,0.20336,0.0506,0.01337,0.00747,0.00179,1.83281,3.10195,1.98753,1.97771,0.000792325,0.000792325,0.000792325
55,334.465,1.55327,3.17976,1.69502,1.63198,0.61423,0.42998,0.47565,0.23527,0.0382,0.02674,0.00726,0.00181,1.71561,2.89784,1.92377,1.85501,0.000775822,0.000775822,0.000775822
56,340.633,1.44606,3.26974,1.72201,1.55578,0.61423,0.42998,0.47565,0.23527,0.0382,0.02674,0.00726,0.00181,1.71561,2.89784,1.92377,1.85501,0.000759318,0.000759318,0.000759318
57,346.706,1.53256,3.42101,1.83611,1.6646,0.58811,0.41176,0.45923,0.22464,0.05364,0.02674,0.00868,0.00211,1.71406,2.81217,1.88558,1.85448,0.000742815,0.000742815,0.000742815
58,352.252,1.44067,3.27137,1.63842,1.60108,0.58811,0.41176,0.45923,0.22464,0.05364,0.02674,0.00868,0.00211,1.71406,2.81217,1.88558,1.85448,0.000726312,0.000726312,0.000726312
59,357.999,1.4382,3.29403,1.69399,1.55373,0.5011,0.45187,0.44894,0.20826,0.14893,0.02139,0.01248,0.00287,1.76329,2.76744,1.84597,1.89726,0.000709809,0.000709809,0.000709809
60,363.199,1.42771,3.04842,1.73352,1.54601,0.46969,0.43316,0.43511,0.19251,0.14099,0.02941,0.01403,0.00282,1.80343,2.74087,1.83728,1.9312,0.000693305,0.000693305,0.000693305
61,368.519,1.44417,2.98378,1.74353,1.61982,0.46969,0.43316,0.43511,0.19251,0.14099,0.02941,0.01403,0.00282,1.80343,2.74087,1.83728,1.9312,0.000676802,0.000676802,0.000676802
62,373.96,1.3283,2.96037,1.56716,1.51024,0.44694,0.49481,0.4539,0.20581,0.06153,0.02941,0.01115,0.00229,1.76899,2.71113,1.82885,1.91138,0.000660299,0.000660299,0.000660299
63,379.215,1.47983,3.22316,1.70984,1.56143,0.52489,0.5,0.47416,0.21905,0.04628,0.03476,0.00651,0.00182,1.684,2.6648,1.86508,1.87224,0.000643795,0.000643795,0.000643795
64,384.269,1.43219,3.38137,1.68059,1.61653,0.52489,0.5,0.47416,0.21905,0.04628,0.03476,0.00651,0.00182,1.684,2.6648,1.86508,1.87224,0.000627292,0.000627292,0.000627292
