epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,356.311,1.41289,2.79354,1.48096,1.51816,0.57024,0.65804,0.63336,0.34304,0.13037,0.19074,0.06547,0.01495,1.47958,2.20361,1.64567,1.7795,0.0011882,0.0011882,0.0011882
43,366.281,1.45565,2.96194,1.50609,1.54003,0.55543,0.58553,0.53287,0.28477,0.14713,0.1812,0.07238,0.01447,1.52872,2.26781,1.70078,1.82241,0.0011684,0.0011684,0.0011684
44,374.394,1.38055,2.68117,1.40617,1.47448,0.47814,0.60627,0.49794,0.26039,0.11107,0.17166,0.05069,0.00879,1.60679,2.32099,1.75705,1.86599,0.0011486,0.0011486,0.0011486
45,383.208,1.41026,2.87183,1.4594,1.52415,0.55629,0.64033,0.55035,0.29932,0.14441,0.18529,0.05503,0.01067,1.56401,2.22817,1.68031,1.82279,0.0011288,0.0011288,0.0011288
46,391.433,1.39865,2.80686,1.4076,1.49793,0.58078,0.65123,0.59707,0.32262,0.20382,0.22888,0.08868,0.01867,1.53745,2.20915,1.65139,1.82323,0.001109,0.001109,0.001109
47,400.175,1.39436,2.78429,1.38202,1.4667,0.60109,0.66349,0.62101,0.3351,0.2026,0.2248,0.08991,0.01926,1.54091,2.23167,1.63695,1.83797,0.0010892,0.0010892,0.0010892
48,407.796,1.35849,2.79765,1.4522,1.48409,0.5919,0.62398,0.60971,0.32911,0.15799,0.20845,0.0791,0.01564,1.56883,2.27586,1.65908,1.844,0.0010694,0.0010694,0.0010694
49,415.722,1.33269,2.72594,1.37935,1.46513,0.58977,0.61717,0.59438,0.31652,0.10041,0.17575,0.04447,0.00811,1.59488,2.40613,1.63711,1.8464,0.0010496,0.0010496,0.0010496
50,423.989,1.35809,2.67993,1.34723,1.47742,0.65641,0.59537,0.61509,0.33056,0.12562,0.14714,0.05958,0.01304,1.59232,2.35616,1.60983,1.83138,0.0010298,0.0010298,0.0010298
51,432.509,1.36702,2.77326,1.40259,1.4925,0.6369,0.58719,0.60556,0.33203,0.21251,0.22343,0.10184,0.02172,1.52477,2.28588,1.60568,1.80035,0.00101,0.00101,0.00101
52,440.401,1.38857,2.81603,1.43357,1.52099,0.58017,0.64169,0.5914,0.32391,0.17373,0.23297,0.08357,0.01669,1.4478,2.37085,1.56743,1.76179,0.0009902,0.0009902,0.0009902
53,448.222,1.32565,2.76843,1.361,1.47897,0.60711,0.62525,0.60292,0.32224,0.19315,0.25477,0.09175,0.01742,1.49408,2.34882,1.53105,1.80094,0.0009704,0.0009704,0.0009704
54,455.666,1.30341,2.64377,1.32633,1.431,0.64499,0.61633,0.61514,0.33775,0.18038,0.23297,0.09551,0.01947,1.49455,2.24012,1.4776,1.81111,0.0009506,0.0009506,0.0009506
55,464.66,1.36072,2.82265,1.38088,1.49416,0.66526,0.63079,0.64983,0.36557,0.13944,0.21798,0.06816,0.0152,1.44714,2.176,1.41896,1.77176,0.0009308,0.0009308,0.0009308
56,473.873,1.28956,2.61756,1.2614,1.41196,0.66038,0.65804,0.66463,0.37851,0.12767,0.18392,0.06212,0.01302,1.40628,2.16491,1.41797,1.73173,0.000911,0.000911,0.000911
57,482.951,1.30343,2.67073,1.33165,1.46658,0.67545,0.65216,0.67861,0.39276,0.15615,0.19482,0.06192,0.01277,1.39158,2.21613,1.41808,1.71202,0.0008912,0.0008912,0.0008912
58,492.016,1.2593,2.49371,1.25625,1.39109,0.67742,0.65123,0.68809,0.39668,0.1821,0.19619,0.07303,0.01444,1.37365,2.19432,1.44079,1.69397,0.0008714,0.0008714,0.0008714
59,500.377,1.22719,2.50331,1.27675,1.38605,0.68088,0.6158,0.67741,0.3856,0.21756,0.24114,0.10156,0.02095,1.37011,2.17952,1.47806,1.68216,0.0008516,0.0008516,0.0008516
60,508.53,1.29346,2.7165,1.3507,1.44358,0.67185,0.6332,0.66576,0.36294,0.23499,0.27248,0.11921,0.02506,1.40846,2.17306,1.51077,1.71258,0.0008318,0.0008318,0.0008318
61,517.389,1.28611,2.44635,1.26488,1.42476,0.65284,0.64051,0.67442,0.36624,0.28301,0.24932,0.12865,0.0266,1.43626,2.17515,1.50045,1.70617,0.000812,0.000812,0.000812
62,525.191,1.26931,2.52118,1.23447,1.38895,0.68744,0.63896,0.68661,0.37797,0.30081,0.25613,0.14058,0.02816,1.43974,2.17525,1.49012,1.70217,0.0007922,0.0007922,0.0007922
63,534.387,1.28591,2.52668,1.25262,1.42037,0.65565,0.64852,0.6707,0.37422,0.31489,0.25613,0.15484,0.03096,1.43687,2.13537,1.529,1.70366,0.0007724,0.0007724,0.0007724
64,543.38,1.22591,2.44481,1.24001,1.41126,0.63351,0.65531,0.66038,0.37102,0.38004,0.26022,0.18379,0.03801,1.43576,2.11129,1.53113,1.71165,0.0007526,0.0007526,0.0007526
